player_name,display_name,active,notes,id,pitcher,date,rel_speed,horz_break,induced_vert_break,original_pitch_type,new_pitch_type,new_pitcher,modified_at,pitch_key,created_at,PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallZAmb4,session_id,play_id,camera_slot,camera_name,camera_target,video_type,azure_blob,azure_md5,cloudinary_url,cloudinary_public_id,uploaded_at,HitType
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2025-10-09,15:04:25,1,1,"Bobo, Aaron",1000294694,Right,CAR_EAG,"Mutter, Evan",1000300074,Right,CAR_EAG,Undefined,1,Top,0,0,0,Fastball,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,81.78818,-0.897254,-5.324886,2206.207669,248.07108,02:15:00,5.44068,3.00462,5.23379,-34.08195,9.23276,19.26477,1.75335,-0.40994,74.47438,-7.147172,-1.92659,0.473684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-11.25914,5.27544,-2.5283,50,5.33237,10.22257,-118.18955,-3.03215,-15.8525,23.49455,-24.74642,CAR_EAG,CAR_EAG,CarsonNewman,TeamExclusive,Team,20251009-CarsonNewman-Private-1,c6334a00-a542-11f0-97db-7f19cf22c299,79.57289,NA,NA,7.31381,NA,NA,NA,NA,NA,NA,b9b1564c-54db-4627-8f3f-643d14cd8d51,2025-10-09,19:04:25,2025-10-09T19:04:25Z,2025-10-09T19:04:25Z,NA,v3,CNE,CNE,NA,"Cochran, Carson",10085797,Right,CAR_EAG,9dea5813-0358-4f90-b713-b7d8cde93291,55.26935,-119.23243,11.74727,5.44258,-1.9337,-12.37321,-2.99767,10.92623,-7.92625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,244.032095,8.051287,2184.461289,0.990143,02:15:00,-0.165793,-0.892262,-0.419978,-66.692986,-46.588635,77.878129,0.928448,109.434476,-0.123596,20.505444,0.123596,-0.350296,-0.928448,82.417322,68.194234,0.350296,0.350296,-109.434476,-68.194234,0.928448,-20.505444,-82.417322,-0.928448,-0.350296,0.123596,-0.123596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2025-10-09,15:04:53,1,2,"Bobo, Aaron",1000294694,Right,CAR_EAG,"Mutter, Evan",1000300074,Right,CAR_EAG,Undefined,1,Top,0,0,1,Slider,Curveball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,75.02571,2.40905,-3.089461,2557.821015,18.537109,06:30:00,5.31581,3.10413,5.14299,-51.63152,-0.44079,-0.67697,3.2862,0.13584,68.81526,-6.961725,-3.208935,0.514952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.51484,-0.49165,-2.81391,50,5.50163,5.89211,-108.68896,2.85796,-0.6162,18.95304,-32.76249,CAR_EAG,CAR_EAG,CarsonNewman,TeamExclusive,Team,20251009-CarsonNewman-Private-1,d7092250-a542-11f0-97db-7f19cf22c299,73.19597,NA,NA,6.21045,NA,NA,NA,NA,NA,NA,b9b1564c-54db-4627-8f3f-643d14cd8d51,2025-10-09,19:04:53,2025-10-09T19:04:53Z,2025-10-09T19:04:53Z,NA,v3,CNE,CNE,NA,"Cochran, Carson",10085797,Right,CAR_EAG,2b8d4769-d3aa-44f5-a32d-25245f932884,55.36067,-109.61976,9.47652,5.32176,4.46696,-16.38125,-3.10402,5.92237,-0.3081,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,350.270055,76.157701,611.959562,0.23925,05:45:00,-0.957678,4.14e-4,0.287841,-24.256982,43.107301,-50.779105,0.5924,127.53545,-0.49084,39.706621,0.49084,-0.638857,-0.5924,50.35614,36.327512,0.638857,0.638857,-127.53545,-36.327512,0.5924,-39.706621,-50.35614,-0.5924,-0.638857,0.49084,-0.49084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2025-10-09,15:05:17,1,3,"Bobo, Aaron",1000294694,Right,CAR_EAG,"Mutter, Evan",1000300074,Right,CAR_EAG,Undefined,1,Top,0,0,2,Slider,Curveball,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,NA,74.75525,0.358769,-3.996248,2628.665393,335.170006,05:15:00,5.13637,3.10923,5.63324,-55.01912,-4.27776,2.71736,0.88701,-0.39907,68.88409,-9.652214,-3.511765,0.512687,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.515,-1.76484,-2.77032,50,5.13179,7.46978,-108.34633,-1.06308,-2.9827,19.33526,-34.26708,CAR_EAG,CAR_EAG,CarsonNewman,TeamExclusive,Team,20251009-CarsonNewman-Private-1,e5333b90-a542-11f0-97db-7f19cf22c299,73.51938,NA,NA,5.87116,NA,NA,NA,NA,NA,NA,b9b1564c-54db-4627-8f3f-643d14cd8d51,2025-10-09,19:05:17,2025-10-09T19:05:17Z,2025-10-09T19:05:17Z,NA,v3,CNE,CNE,NA,"Cochran, Carson",10085797,Right,CAR_EAG,f46c7b37-f4ed-4e10-8730-ffbe03d8ea7b,54.87002,-109.21197,9.66763,5.14504,0.47105,-17.13354,-3.10773,7.60331,-1.49135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.79026,NA,NA,0.863428,NA,NA,NA,-2.01352,5.51354,-2.52061,62.60081,4.64589,-62.19046,-1.99673,79.16984,-5.07831,5.52431,10.16746,-12.97796,-2.5567,-76.46382,8.64181,High,High,High,NA,NA,High,High,High,339.99088,75.644507,651.744509,0.247937,05:15:00,-0.950696,-0.078769,0.299956,-69.523679,5.862168,-55.819633,0.525413,144.269181,-0.690692,29.793534,0.690692,-0.496876,-0.525413,37.260448,31.696058,0.496876,0.496876,-144.269181,-31.696058,0.525413,-29.793534,-37.260448,-0.525413,-0.496876,0.690692,-0.690692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2025-10-09,15:05:59,2,1,"Bobo, Aaron",1000294694,Right,CAR_EAG,"Wyatt, Jack",10013525,Right,CAR_EAG,Undefined,1,Top,1,0,0,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,82.12262,-2.014975,-4.547955,2135.887845,259.640233,02:45:00,5.40556,3.00336,4.8938,-38.32282,5.338,20.75789,0.29911,0.42197,74.74419,-8.95858,-0.896921,0.475573,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-11.61985,3.69414,-2.57514,50,5.17537,8.52609,-118.62371,-5.60984,-16.41063,24.56552,-26.95683,CAR_EAG,CAR_EAG,CarsonNewman,TeamExclusive,Team,20251009-CarsonNewman-Private-1,fe3cd6f0-a542-11f0-97db-7f19cf22c299,79.25686,NA,NA,7.37843,NA,NA,NA,NA,NA,NA,b9b1564c-54db-4627-8f3f-643d14cd8d51,2025-10-09,19:05:59,2025-10-09T19:05:59Z,2025-10-09T19:05:59Z,NA,v3,CNE,CNE,NA,"Cochran, Carson",10085797,Right,CAR_EAG,2bc12275-2da8-48bf-a44b-c7a283e8dd6b,55.6081,-119.77945,12.28276,5.40946,-4.34159,-13.47842,-2.99443,9.29816,-8.20532,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,246.465635,16.33128,2049.708872,0.959652,02:15:00,-0.279678,-0.889172,-0.362152,-37.689379,-34.339231,63.579788,0.964584,108.893042,-0.085411,14.451712,0.085411,-0.249564,-0.964584,84.939831,74.705828,0.249564,0.249564,-108.893042,-74.705828,0.964584,-14.451712,-84.939831,-0.964584,-0.249564,0.085411,-0.085411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2025-10-09,15:13:08,2,2,"Bobo, Aaron",1000294694,Right,CAR_EAG,"Wyatt, Jack",10013525,Right,CAR_EAG,Undefined,1,Top,1,1,0,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,2,0,NA,83.20805,-1.634165,3.462328,2515.505455,157.024058,11:15:00,5.78004,-2.2228,5.40575,-23.14013,18.08863,-7.10815,2.31724,0.43307,76.12778,-5.9477,2.201096,0.462138,21.88041,-7.695595,28.432421,1416.653824,NA,NA,NA,10.84375,10.75752,19.498114,0.273107,4.56504,9.96312,1.91927,50,5.61836,-7.00307,-120.55227,-4.17811,6.71937,23.38756,-17.50915,CAR_EAG,CAR_EAG,CarsonNewman,TeamExclusive,Team,20251009-CarsonNewman-Private-1,fe594320-a543-11f0-870a-a764b86fb10a,81.56103,2.41967,NA,7.08027,NA,NA,NA,2.67483,2.41967,-0.529,b9b1564c-54db-4627-8f3f-643d14cd8d51,2025-10-09,19:13:08,2025-10-09T19:13:08Z,2025-10-09T19:13:08Z,GroundBall,v3,CNE,CNE,NA,"Cochran, Carson",10085797,Right,CAR_EAG,23eabcd2-e564-4f62-9dad-33ef9b36ef6f,55.09618,-121.53693,11.69378,5.77874,-3.44094,-8.75458,2.22007,-7.28597,3.35969,317.060369,2.67452,27.98058,-1.26052,NA,NA,NA,NA,NA,NA,2.41991,-4.30886,-16.67323,NA,NA,NA,NA,NA,NA,-0.52911,15.1467,0.15978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA,146.61148,-33.918623,2087.444298,0.829831,11:00:00,0.585615,0.472395,-0.65871,20.953163,-35.171281,25.397874,-0.179272,167.168112,-0.95923,-12.620547,0.95923,-0.218493,0.179272,10.585986,-10.32737,0.218493,-0.218493,-167.168112,10.32737,0.179272,12.620547,-10.585986,-0.179272,0.218493,0.95923,-0.95923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2025-10-09,15:14:16,1,1,"Rowland, Bryson",10323022,Left,CAR_EAG,"Smith, Braxton",1000370200,Right,CAR_EAG,Undefined,1,Bottom,0,0,0,Fastball,Changeup,InPlay,Undefined,FlyBall,Out,2,0,NA,82.49655,-1.858185,3.548409,2609.273144,150.804742,11:00:00,5.90686,-2.12544,5.82743,-21.02726,20.30698,-10.58918,2.42319,0.29517,75.36285,-5.834168,1.655191,0.462729,83.80098,34.91286,8.900896,NA,107.14259,64.35773,24.90913,323.49198,319.87472,19.063199,4.690872,6.44087,11.31898,1.84157,50,5.7424,-7.00389,-119.56176,-4.47673,9.31165,23.31994,-15.81004,CAR_EAG,CAR_EAG,CarsonNewman,TeamExclusive,Team,20251009-CarsonNewman-Private-1,268169e0-a544-11f0-870a-a764b86fb10a,81.4569,77.47262,NA,7.1337,NA,NA,NA,1.36779,2.54809,-0.23702,b9b1564c-54db-4627-8f3f-643d14cd8d51,2025-10-09,19:14:16,2025-10-09T19:14:16Z,2025-10-09T19:14:16Z,FlyBall,v3,CNE,CNE,NA,"Van Ness, Jameson",1000370206,Right,CAR_EAG,31373e52-55db-4371-9403-70a5b978c8b1,54.67441,-120.47003,11.65997,5.90477,-3.86095,-7.90502,2.12143,-7.36656,4.65583,216.823135,1.3704,99.51137,-16.90565,3.61899,-0.30508,-0.10904,0.04173,-0.00547,2.6e-4,2.54743,70.35534,-18.23477,0.99532,-0.08666,-0.03517,0.02292,-0.00454,3e-4,-0.23747,15.60793,4.75068,-1.45392,0.21042,0.0176,-0.01293,0.00195,-1e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA,152.970752,-31.592021,2222.578587,0.8518,11:00:00,0.557021,0.40388,-0.725678,47.994048,-11.909644,-24.710964,-0.178105,169.487132,-0.967494,-10.342917,0.967494,-0.179539,0.178105,10.430756,-10.259414,0.179539,-0.179539,-169.487132,10.259414,0.178105,10.342917,-10.430756,-0.178105,0.179539,0.967494,-0.967494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2025-10-09,15:15:09,2,1,"Rowland, Bryson",10323022,Left,CAR_EAG,"Kilgore, Tanner",814348,Right,CAR_EAG,Undefined,1,Bottom,2,0,0,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,82.43271,0.505601,2.421099,2442.571214,150.16227,11:00:00,6.08668,-2.26576,5.08504,-23.2858,19.68336,-10.40918,4.62323,-0.84967,74.25165,-3.87079,0.583431,0.471791,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.86591,10.0226,2.04481,50,6.11709,-4.58058,-119.29548,0.31806,8.35449,25.45159,-17.89941,CAR_EAG,CAR_EAG,CarsonNewman,TeamExclusive,Team,20251009-CarsonNewman-Private-1,46686010-a544-11f0-870a-a764b86fb10a,79.89223,NA,NA,8.18106,NA,NA,NA,NA,NA,NA,b9b1564c-54db-4627-8f3f-643d14cd8d51,2025-10-09,19:15:09,2025-10-09T19:15:09Z,2025-10-09T19:15:09Z,NA,v3,CNE,CNE,NA,"Van Ness, Jameson",1000370206,Right,CAR_EAG,898de5bd-120a-4c95-82b0-11ddbef5e1dd,55.41155,-120.44449,12.72579,6.08449,1.12614,-8.94971,2.26011,-4.95775,4.17724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,149.744444,-25.860244,2197.973706,0.899861,11:00:00,0.472604,0.449535,-0.758,-8.495784,-30.279575,69.562024,-0.1422,172.83024700000001,-0.982098,-7.096517,0.982098,-0.123541,0.1422,8.238719,-8.175172,0.123541,-0.123541,-172.83024700000001,8.175172,0.1422,7.096517,-8.238719,-0.1422,0.123541,0.982098,-0.982098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,2025-10-09,15:15:50,2,2,"Rowland, Bryson",10323022,Left,CAR_EAG,"Kilgore, Tanner",814348,Right,CAR_EAG,Undefined,1,Bottom,2,1,0,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,82.73283,-1.94013,4.417048,2520.429308,152.438458,11:00:00,5.97553,-2.05977,5.22224,-19.95548,22.33749,-10.90221,2.48229,1.19297,75.23346,-5.697034,2.493547,0.468064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.68276,12.11028,1.65977,50,5.78156,-8.76667,-119.58179,-4.65939,9.64444,23.77704,-14.69675,CAR_EAG,CAR_EAG,CarsonNewman,TeamExclusive,Team,20251009-CarsonNewman-Private-1,5ea70a50-a544-11f0-870a-a764b86fb10a,80.52836,NA,NA,7.49937,NA,NA,NA,NA,NA,NA,b9b1564c-54db-4627-8f3f-643d14cd8d51,2025-10-09,19:15:50,2025-10-09T19:15:50Z,2025-10-09T19:15:50Z,NA,v3,CNE,CNE,NA,"Van Ness, Jameson",1000370206,Right,CAR_EAG,3fcc775b-4b6a-44fc-9317-93a5edc4b375,55.27683,-120.62644,11.88852,5.97208,-4.01368,-7.34837,2.05425,-9.19041,4.82222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,150.630321,-21.837307,2339.57293,0.928244,11:00:00,0.417589,0.467583,-0.779093,6.065549,-32.264146,44.921597,-0.068727,173.484278,-0.991192,-6.500249,0.991192,-0.113208,0.068727,3.966411,-3.940872,0.113208,-0.113208,-173.484278,3.940872,0.068727,6.500249,-3.966411,-0.068727,0.113208,0.991192,-0.991192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,2025-10-09,15:16:14,2,3,"Rowland, Bryson",10323022,Left,CAR_EAG,"Kilgore, Tanner",814348,Right,CAR_EAG,Undefined,1,Bottom,2,2,0,Fastball,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,82.57373,-1.094574,3.353524,2567.233908,158.774112,11:15:00,5.98818,-2.09077,5.35182,-20.34946,21.58765,-7.85796,3.26384,0.40347,75.40727,-4.923674,1.961192,0.466091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.90607,11.5665,1.7945,50,5.87552,-6.68931,-119.65592,-2.90388,7.11246,23.09888,-15.40581,CAR_EAG,CAR_EAG,CarsonNewman,TeamExclusive,Team,20251009-CarsonNewman-Private-1,6ce12920-a544-11f0-870a-a764b86fb10a,80.86928,NA,NA,7.16645,NA,NA,NA,NA,NA,NA,b9b1564c-54db-4627-8f3f-643d14cd8d51,2025-10-09,19:16:14,2025-10-09T19:16:14Z,2025-10-09T19:16:14Z,NA,v3,CNE,CNE,NA,"Van Ness, Jameson",1000370206,Right,CAR_EAG,ba6c0d0e-9774-4f90-960f-176219e7b8a0,55.1499,-120.64597,11.54944,5.98583,-2.24356,-7.7029,2.08775,-6.99416,3.55623,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,152.733089,-25.770151,2311.910666,0.900545,11:00:00,0.472896,0.420802,-0.774141,13.219005,-33.446886,30.988433,-0.111979,174.668179,-0.989411,-5.298191,0.989411,-0.092339,0.111979,6.4571,-6.429396,0.092339,-0.092339,-174.668179,6.429396,0.111979,5.298191,-6.4571,-0.111979,0.092339,0.989411,-0.989411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,2025-10-09,15:16:42,2,4,"Rowland, Bryson",10323022,Left,CAR_EAG,"Kilgore, Tanner",814348,Right,CAR_EAG,Undefined,1,Bottom,2,2,1,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,83.65779,0.374758,2.812534,2362.022533,150.108346,11:00:00,5.93049,-2.1598,5.24594,-22.68297,19.00233,-10.0313,4.39288,-0.35037,75.00702,-3.910262,1.037121,0.464689,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.86717,9.7728,1.90877,50,5.94884,-5.49649,-120.99986,0.08797,8.55365,27.27448,-17.92645,CAR_EAG,CAR_EAG,CarsonNewman,TeamExclusive,Team,20251009-CarsonNewman-Private-1,7dd007b0-a544-11f0-870a-a764b86fb10a,81.11318,NA,NA,8.65077,NA,NA,NA,NA,NA,NA,b9b1564c-54db-4627-8f3f-643d14cd8d51,2025-10-09,19:16:42,2025-10-09T19:16:42Z,2025-10-09T19:16:42Z,NA,v3,CNE,CNE,NA,"Van Ness, Jameson",1000370206,Right,CAR_EAG,f7465b9e-286c-4281-a9dc-1a8794ffcff3,55.24994,-122.17752,13.63724,5.92833,0.86199,-8.96322,2.15407,-5.86582,4.27682,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,150.217425,-26.978162,2104.986052,0.891179,11:00:00,0.493939,0.439681,-0.750136,5.687018,-32.834404,45.411854,-0.14113,171.420676,-0.978913,-8.492816,0.978913,-0.147685,0.14113,8.203807,-8.113237,0.147685,-0.147685,-171.420676,8.113237,0.14113,8.492816,-8.203807,-0.14113,0.147685,0.978913,-0.978913,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
